Name,Review,Module Code,Semester,Title,Grade,BBA / BZA,Module Credit,Description
CP3880,See my review under journals for SAP ATAP!,ATAP,Y3S1,Advanced Technology Attachment Programme,CS,BZA,4,"This course enables students to apply the computing knowledge they have assimilated in class to industrial projects through six-month attachment to companies/organizations. Students under attachment will be jointly guided by supervisors from both the companies/organizations and the school. Their progress on projects will be monitored during attachment, and their performance will be assessed (on Satisfactory/Unsatisfactory (S/U) basis) at the end of the attachment, based on the interim and final project reports. During the attachment, students are not expected to take other courses offered by the university."
UTS2706,,UTS,Y2S2,A Social Critique of Markets in Singapore,S,Both,4,"This course is a social critique of markets and market behaviour in Singapore. Markets are often explained with methodological individualism as opposed to broader social systems that underscore behavioural and motivational determinants. This course presents an inter-disciplinary reading of selected economic concepts and critiques them from a social and holistic angle. It is principally a sociohistorical reading of how markets perform. In its application side, the course will reinterpret the success of Singapore using conceptual tools such as objective value theory, social productivity, the leisure class, and the historically determined social wage."
ST2334,"The only Statistics module I had to take that taught H2 Statistics + Poisson, Geometric Distributions, and Exponential Distribution. Not much additional content on top of H2 Mathematics so Bell Curve for Mid-terms was steep, but I think Finals Bell Curve should be fine since I ended up getting an A+.",ST,Y2S2,Probability and Statistics,A+,Both,4,"This course introduces students to basic probability theory and statistical inference. Topics include basic concepts of probability, conditional probability, independence, random variables, joint and marginal distributions, mean and variance, some common probability distributions, sampling distributions, estimation and hypothesis testing based on a normal population."
IS3103,"Communications and Leadership module that rewards students for speaking up and basically acting. At points, definitely felt like they were teaching students to be corporate muppets who felt nothing for employees and say what they needed to hear to calm down. “Yessss, don’t worry guys! AI isn’t going to take your jobs! You just have to upskill yourselves. I HEAR YOUR CONCERNS! But it’s all going to be okay!”.",IS,Y2S2,Information Systems Leadership and Communication,A-,BZA,4,"To drive innovation and transformation, technology leaders must identify key business drivers and align technologies with business objectives. This course provides foundational knowledge in information systems (IS) leadership and management essential for successful digital transformation. It aims to equip students with the skills to identify digital innovation opportunities, digitise business processes, and design effective human-AI solutions. Through experiential learning, students will develop the ability to manage digital disruptions and facilitate technology-enabled organisational change. Additionally, students will acquire change leadership communication skills to ensure effective collaboration between business and technology stakeholders."
FIN3702A,Frankly forgot what was taught here other than Discounted Cash Flow as with every other FIN module.,FIN,Y2S2,Investment Analysis and Portfolio Management,A+,BBA,4,"This is an introductory course in investments. It provides a comprehensive coverage of basic concepts, theories, applications and decision-making rules in financial investment. Topics to be covered include fundamental security analysis on stocks, bonds, options and futures as well as modern portfolio management. On completion, candidates should be conversant in investment management in preparation for careers in financial analysis and financial planning, investment banking, and corporate finance. Candidates should also be equipped to write the Chartered Financial Analysts (CFA) Level 1 examinations in quantitative analysis, equity securities analysis and portfolio management."
DAO2703,"Very dry module on calculating throughput and additional stuff. Feels like throwing a bunch of jargon at the wall and asking students to memorise. Probably is the case in the industry so can’t complain. Anyway, I got a B+ if you’re wondering. Ya, I’m glad I don’t plan to enter this industry.",DAO,Y2S2,Operations and Technology Management,S,BBA,4,"Operations and Technology Management (OTM) is a classic functional area of management that deals with the problems of production in all kinds of enterprises. It focuses on the productive system of the enterprise, which we define as the means by which resource inputs are transformed into useful outputs of goods and services. While Operations and Technology Management is a traditional functional field, and while this course will follow an outline built around the traditional foundational topics of OTM, we will nevertheless attempt to highlight some of the more current issues that are relevant within these topics. In view of this, the course will consider issues pertaining to both manufacturing and services-oriented systems, highlight the strategic aspects of operations, evaluate the significance and implications of advanced process technologies like robotics, AI and flexible manufacturing systems. The course will also explore the strategic significance of practices such as Lean Operations, Total Quality Management, and Sustainable Operations. The primary objectives of the course are to provide students with an introduction to, and an understanding of, the substantive knowledge which has developed over the years in the field of Operations and Technology Management, and to highlight the current relevance and strategic significance of the operations function in any given enterprise."
BT3103,"Infuriating module with Youtube-esque Professor who doesn’t outline clear requirements. Professor touted SCRUM and asked us to live and breather SCRUM and submit the results at the end, saying that is the most important thing. Well, nobody actually knows what goes through that black box of a head because my juniors who I have great faith in showed me their report and I would have given an A+, and they also got a B+. Anyway, most students don’t learn anything here because they already did Orbital during their summers in Year 1 - whereby you learn frontend, backend, maybe a little about your rear end if you did “Artemis” level, and everything this module even remotely touches, so this module really is just an obstacle to be cleared.",BT,Y2S2,Application Systems Development for Business Analytics,B+,BZA,4,"The course covers the concepts of software development life cycle and project management. It will also include hands-on learning sessions that cover the fundamentals of web development. The module focuses heavily on the development and deployment of web applications. It will be a project-based learning, and the course will cover the following topics: Stages of Software development life cycle Front-end development with HTML+CSS+Javascript Introduction to javascript frameworks like Vue js. Firebase Firestore and deployment with Firebase Version control Project Management methodologies, including SCRUM Introduction to DevOps"
BT3102,"During our iteration, Professor focused heavily on Bayesian Networks and how they worked - conditional probabilities and backward deduction?, and additional things like Hidden Markov Models, their assumptions, Viterbi Algorithm, MLE, and finally sampling methods. Honestly, quite an interesting module on HMMs and conditional probability!",BT,Y2S2,Computational Methods for Business Analytics,A,BZA,4,"Computers are becoming readily accessible, and its use in business analytics is growing more prevalent. This course will introduce students to computational methods, algorithms and techniques used in business fields such as finance, marketing and economics to address complex analytics problems. The course will cover topics and algorithms in areas such as optimization methods, numerical analysis, simulations, monte-carlo methods, graph and flow methods, and computational complexity issues to address business analytics related problems. Students will get the opportunity to learn about these computational methods and issues through hands-on practice assignments, case analysis discussions, and/or course projects."
Personal Website v1,,,Y2S1,,,,,
RC4 FA,,,Y2S1,,,,0,
